SrNo,Parameter,Unit,Month,Value,Data Source
269,Total Coliform,MPN/100ml,Oct,,CPCB 2018
270,Faecal Coliform,MPN/100ml,Oct,,CPCB 2018
271,pH,-,Nov,7.0,CPCB 2018
272,Conductivity,µs/cm,Nov,611.0,CPCB 2018
273,DO,mg/l,Nov,,CPCB 2018
274,COD,mg/l,Nov,204.0,CPCB 2018
275,BOD,mg/l,Nov,65.0,CPCB 2018
276,NO3-N,mg/l,Nov,2.0,CPCB 2018
277,NH3-N,mg/l,Nov,23.0,CPCB 2018
278,Phosphate,mg/l,Nov,2.4,CPCB 2018
279,TSS,mg/l,Nov,120.0,CPCB 2018
280,TDS,mg/l,Nov,300.0,CPCB 2018
281,FS,mg/l,Nov,248.0,CPCB 2018
282,Turbidity,NTU,Nov,119.0,CPCB 2018
283,TH as CaCO3,mg/l,Nov,220.0,CPCB 2018
284,Ca as CaCO3,mg/l,Nov,142.0,CPCB 2018
285,Mg as CaCO3,mg/l,Nov,78.0,CPCB 2018
286,Sulphate,mg/l,Nov,74.0,CPCB 2018
287,Chloride,mg/l,Nov,41.0,CPCB 2018
288,Total alkalinity as CaCO3,mg/l,Nov,266.0,CPCB 2018
289,P-Alkalinity,mg/l,Nov,,CPCB 2018
290,Fluoride,mg/l,Nov,0.12,CPCB 2018
291,Colour,Hazen,Nov,30.0,CPCB 2018
292,Boron(B),mg/l,Nov,,CPCB 2018
293,TKN,mg/l,Nov,26.0,CPCB 2018
294,Potassium,mg/l,Nov,22.0,CPCB 2018
295,Sodium,mg/l,Nov,17.0,CPCB 2018
296,Total Coliform,MPN/100ml,Nov,,CPCB 2018
297,Faecal Coliform,MPN/100ml,Nov,,CPCB 2018
298,pH,-,Dec,7.1,CPCB 2018
299,Conductivity,µs/cm,Dec,696.0,CPCB 2018
300,DO,mg/l,Dec,,CPCB 2018
301,COD,mg/l,Dec,228.0,CPCB 2018
302,BOD,mg/l,Dec,69.0,CPCB 2018
303,NO3-N,mg/l,Dec,6.3,CPCB 2018
304,NH3-N,mg/l,Dec,29.0,CPCB 2018
305,Phosphate,mg/l,Dec,3.3,CPCB 2018
306,TSS,mg/l,Dec,113.0,CPCB 2018
307,TDS,mg/l,Dec,318.0,CPCB 2018
308,FS,mg/l,Dec,324.0,CPCB 2018
309,Turbidity,NTU,Dec,112.0,CPCB 2018
310,TH as CaCO3,mg/l,Dec,220.0,CPCB 2018
311,Ca as CaCO3,mg/l,Dec,140.0,CPCB 2018
312,Mg as CaCO3,mg/l,Dec,80.0,CPCB 2018
313,Sulphate,mg/l,Dec,66.0,CPCB 2018
314,Chloride,mg/l,Dec,40.0,CPCB 2018
315,Total alkalinity as CaCO3,mg/l,Dec,282.0,CPCB 2018
316,P-Alkalinity,mg/l,Dec,,CPCB 2018
317,Fluoride,mg/l,Dec,0.12,CPCB 2018
318,Colour,Hazen,Dec,30.0,CPCB 2018
319,Boron(B),mg/l,Dec,,CPCB 2018
320,TKN,mg/l,Dec,10.9,CPCB 2018
321,Potassium,mg/l,Dec,2.0,CPCB 2018
322,Sodium,mg/l,Dec,39.0,CPCB 2018
323,Total Coliform,MPN/100ml,Dec,,CPCB 2018
324,Faecal Coliform,MPN/100ml,Dec,,CPCB 2018
